Driver,Team,Livery,Color,darkpalette
HAM,MER,#c6c6c6,#00c0bf,#00c0bf
BOT,MER,#c6c6c6,#00c0bf,#00c0bf
RUS,MER,#c6c6c6,#00c0bf,#00c0bf
ANT,MER,#c6c6c6,#00c0bf,#00c0bf
VET,FER,#a6051a,#e6194b,#e6194b
RAI,FER,#a6051a,#e6194b,#e6194b
LEC,FER,#a6051a,#e6194b,#e6194b
SAI,FER,#a6051a,#e6194b,#e6194b
HAM,FER,#a6051a,#e6194b,#e6194b
ALO,MCL,#ff8000,#f58231,#f58231
VAN,MCL,#ff8000,#f58231,#f58231
SAI,MCL,#ff8000,#f58231,#f58231
NOR,MCL,#ff8000,#f58231,#f58231
RIC,MCL,#ff8000,#f58231,#f58231
PIA,MCL,#ff8000,#f58231,#f58231
GRO,HAA,#ffffff,#ffffff,#ffffff
MAG,HAA,#ffffff,#ffffff,#ffffff
FIT,HAA,#ffffff,#ffffff,#ffffff
MSC,HAA,#ffffff,#ffffff,#ffffff
MAZ,HAA,#ffffff,#ffffff,#ffffff
HUL,HAA,#ffffff,#ffffff,#ffffff
OCO,HAA,#ffffff,#ffffff,#ffffff
BEA,HAA,#ffffff,#ffffff,#ffffff
HUL,APN,#fd4bc7,#f032e6,#f032e6
SAI,APN,#fd4bc7,#f032e6,#f032e6
RIC,APN,#fd4bc7,#f032e6,#f032e6
OCO,APN,#fd4bc7,#f032e6,#f032e6
ALO,APN,#fd4bc7,#f032e6,#f032e6
GAS,APN,#fd4bc7,#f032e6,#f032e6
COL,APN,#fd4bc7,#f032e6,#f032e6
DOO,APN,#fd4bc7,#f032e6,#f032e6
GAS,RBR,#121f45,#ffe119,#ffe119
RIC,RBR,#121f45,#ffe119,#ffe119
VER,RBR,#121f45,#ffe119,#ffe119
ALB,RBR,#121f45,#ffe119,#ffe119
PER,RBR,#121f45,#ffe119,#ffe119
LAW,RBR,#121f45,#ffe119,#ffe119
TSU,RBR,#121f65,#ffe119,#ffe119
HAD,RBR,#121f45,#ffe119,#ffe119
GAS,APT,#00293f,#dcbeff,#dcbeff
HRT,APT,#00293f,#dcbeff,#dcbeff
KVY,APT,#00293f,#dcbeff,#dcbeff
ALB,APT,#00293f,#dcbeff,#dcbeff
DEV,APT,#00293f,#dcbeff,#dcbeff
RIC,APT,#00293f,#dcbeff,#dcbeff
LAW,APT,#00293f,#dcbeff,#dcbeff
TSU,APT,#00293f,#dcbeff,#dcbeff
HAD,APT,#00293f,#dcbeff,#dcbeff
LIN,APT,#00293f,#dcbeff,#dcbeff
OCO,AMR,#00352f,#3cb44b,#3cb44b
PER,AMR,#00352f,#3cb44b,#3cb44b
VET,AMR,#00352f,#3cb44b,#3cb44b
ALO,AMR,#00352f,#3cb44b,#3cb44b
STR,AMR,#00352f,#3cb44b,#3cb44b
ERI,AUD,#1a1a2e,#9a9a9a,#9a9a9a
LEC,AUD,#1a1a2e,#9a9a9a,#9a9a9a
GIO,AUD,#1a1a2e,#9a9a9a,#9a9a9a
RAI,AUD,#1a1a2e,#9a9a9a,#9a9a9a
BOT,AUD,#1a1a2e,#9a9a9a,#9a9a9a
ZHO,AUD,#1a1a2e,#9a9a9a,#9a9a9a
HUL,AUD,#1a1a2e,#9a9a9a,#9a9a9a
BOR,AUD,#1a1a2e,#9a9a9a,#9a9a9a
STR,WIL,#041e42,#4363d8,#4363d8
SIO,WIL,#041e42,#4363d8,#4363d8
KUB,WIL,#041e42,#4363d8,#4363d8
RUS,WIL,#041e42,#4363d8,#4363d8
LAT,WIL,#041e42,#4363d8,#4363d8
ALB,WIL,#041e42,#4363d8,#4363d8
SAR,WIL,#041e42,#4363d8,#4363d8
AIT,WIL,#041e42,#4363d8,#4363d8
DEV,WIL,#041e42,#4363d8,#4363d8
SAI,WIL,#041e42,#4363d8,#4363d8
PER,CAD,#0a0a0a,#C5A253,#C5A253
BOT,CAD,#0a0a0a,#C5A253,#C5A253
BOT,KSA,#0d1a0d,#00ff00,#00ff00
ZHO,KSA,#0d1a0d,#00ff00,#00ff00
HUL,KSA,#0d1a0d,#00ff00,#00ff00
BOR,KSA,#0d1a0d,#00ff00,#00ff00
